MLDB_Number,Latitude,Longitude
219,50.660615,-115.875941
220,50.666074,-120.182934
221,50.671034,-120.233063
222,50.699108,-119.816223
223,50.725739,-121.272818
224,50.745568,-119.236348
225,50.781486,-115.929185
226,50.787636,-119.004604
227,50.81986693,-120.8441659
228,50.829163,-121.855652
229,50.836623,-121.371896
230,50.860909,-109.969648
231,50.87384,-121.828157
232,50.88987535,-109.8457965
233,50.893761,-121.76792
234,50.92194314,-113.9531428
235,50.92390425,-115.0886531
236,50.95446776,-115.0561871
237,50.95881131,-114.9206085
238,50.96311841,-115.1240274
239,51.02631253,-115.0023009
240,51.037947,-114.091836
241,51.067736,-120.233111
242,51.080629,-118.082462
243,51.093956,-114.728953
244,51.136695,-114.274171
245,51.15802617,-115.533709
246,51.186101,-115.576309
247,51.196792,-115.48492
248,51.259502,-117.5088
249,51.260418,-115.923281
250,51.28944878,-116.7925788
251,51.340989,-116.312153
252,51.350613,-116.333856
253,51.355975,-116.330272
254,51.403267,-121.231433
255,51.40954427,-116.1387002
256,51.430574,-119.960926
257,51.48406,-118.466918
258,51.64824355,-115.0785173
259,51.69883,-115.4082526
260,51.9474323,-116.6293297
261,51.967316,-116.751932
262,51.97349416,-116.4871497
263,52,-118.3
264,52.0001825,-118.409193
265,52.00445527,-116.3395446
266,52.004489,-118.562728
267,52.02214665,-116.3182935
268,52.076463,-118.573438
269,52.1,-118.55
270,52.15517866,-116.9301939
271,52.27,-116.12
272,52.485996,-121.342778
273,52.612807,-120.997395
274,53.140385,-119.172821
275,53.2085227,-115.4956813
276,53.35,-118.01
277,53.35944889,-117.587043
278,53.41944642,-114.3013939
279,53.46863563,-113.4842375
280,53.49462222,-114.429811
281,53.49825281,-113.4084288
282,53.51366777,-114.5197182
283,53.55703673,-113.3537466
284,54.723476,-112.481055
285,73.58,-38.4
286,77.1667,-61.1333
